"variable","titre","Formulaire
(par défaut BM)","page","type","Représentation 
(par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI) ","Non Modifiable
(par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation 
(par défaut aucune)","Nom variable n-1 dans ADRESSE08"
"D403","Documents audiovisuels – Documents sonores : musique – En réseau (TIT) – Fonds",,"D","Int",10,,,,,,,"C",,
"D404","Documents audiovisuels – Documents sonores : musique – En réseau (TIT) – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D405","Documents audiovisuels – Documents sonores : livres enregistrés – Sur support (UM) – Fonds",,"D","Int",10,,,,,,,"C",,
"D406","Documents audiovisuels – Documents sonores : livres enregistrés – Sur support (UM) – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D407","Documents audiovisuels – Documents sonores : livres enregistrés – En réseau (TIT) – Fonds",,"D","Int",10,,,,,,,"C",,
"D408","Documents audiovisuels – Documents sonores : livres enregistrés – En réseau (TIT) – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D409","Documents audiovisuels – Total documents sonores – Sur support (UM) - Fonds ",,"D","Int",10,,,,,,,"AC",,
"D410","Documents audiovisuels – Total documents sonores – Sur support (UM) - Acquisitions ",,"D","Int",10,,,,,,,"AC",,
"D411","Documents audiovisuels – Documents vidéo – Sur support (UM) – Fonds",,"D","Int",10,,,,,,,"AC",,
"D412","Documents audiovisuels – Documents vidéo – Sur support (UM) – Acquisitions",,"D","Int",10,,,,,,,"AC",,
"D413","Documents audiovisuels – Documents vidéo – En réseau (TIT) - Fonds",,"D","Int",10,,,,,,,"C",,
"D414","Documents audiovisuels – Documents vidéo – En réseau (TIT) – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D415","Documents audiovisuels – Eliminations – Sur support (UM) – Fonds",,"D","Int",10,,,,,,,"AC",,
"D501","Documents numériques – Livres électroniques – TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D502","Documents numériques – Livres électroniques – TIT – acquis à titre onéreux, par don ou dépôt légal (titres) – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D503","Documents numériques – Livres électroniques – TIT – numérisés par la bibliothèque – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D504","Documents numériques – Fichiers ou programmes informatiques – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D505","Documents numériques – Fichiers ou programmes informatiques – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D506","Documents numériques – Autres documents numériques – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D507","Documents numériques – Autres documents numériques – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D508","Documents numériques – Autres documents numériques – TIT– Fonds",,"D","Int",10,,,,,,,"C",,
"D509","Documents numériques – Autres documents numériques – TIT– Acquisitions",,"D","Int",10,,,,,,,"C",,
"D510","Documents numériques – Bases de données – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D511","Documents numériques – Bases de données – UM – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D512","Documents numériques – Bases de données –TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D513","Documents numériques – Bases de données – TIT– Acquisitions",,"D","Int",10,,,,,,,"C",,
"D514","Documents numériques – Bases de données – LIC– Fonds",,"D","Int",10,,,,,,,"C",,
"D515","Documents numériques – Bases de données – LIC– Acquisitions",,"D","Int",10,,,,,,,"C",,
"D516","Documents numériques – Ressources gratuites signalées – Fonds",,"D","Int",10,,,,,,,"C",,
"D517","Documents numériques –CD-ROM – Fonds",,"D","Int",10,,,,,,,"A",,
"D518","Documents numériques –CD-ROM – Acquisitions",,"D","Int",10,,,,,,,"A",,
,,,,,,,,,,,,,,
"E101","Usagers – Particuliers – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E102","Usagers – Particuliers – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E103","Usagers – Particuliers – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E104","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Hommes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E105","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Hommes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E106","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Hommes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E107","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Femmes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E108","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Femmes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E109","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Femmes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E110","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Total – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E111","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Total – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E112","Usagers – Particuliers – dont Enfants (de 0 à 14 ans) Total – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E113","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Hommes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E114","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Hommes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E115","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Hommes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E116","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Femmes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E117","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Femmes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E118","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Femmes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E119","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Total – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E120","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Total – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E121","Usagers – Particuliers – dont Adultes (de 15 à 64 ans) Total – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E122","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Hommes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E123","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Hommes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E124","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Hommes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E125","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Femmes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E126","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Femmes – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E127","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Femmes – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E128","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Total – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
"E129","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Total – dont nouveaux inscrits",,"E","Int",10,,,,,,,"AC",,
"E130","Usagers – Particuliers – dont Adultes (de 65 ans et plus) Total – dont emprunteurs actifs",,"E","Int",10,,,,,,,"AC",,
"E131","Usagers – Particuliers – Total adultes Hommes – Inscrits actifs",,"E","Int",10,,,,,,,"C",,
